material;id_tienda;stock_restaurado
000000000000210239;3212;116
000000000000132114;3212;48
000000000000752668;3172;102
000000000402613002;3091;362
000000000000053957;3206;52
000000000000585347;3092;37
000000000000615004;3089;35
000000000000661944;3094;52
000000000000358031;3172;94
000000000000023776;3180;70
000000000000121949;3223;48
000000000000665184;3180;19
000000000000607906;3098;149
000000000000655096;3088;13
000000000628439002;3085;47
000000000000191021;3093;97
000000000000641385;3086;48
000000000000505749;3212;89
000000000401862004;3088;15
000000000000640484;3180;19
000000000000010526;3225;119
000000000000648037;3212;31
000000000000960218;3094;114
000000000000625303;3085;43
000000000000053901;3086;187
000000000000251914;3193;304
000000000000203455;3211;691
000000000000013241;3172;84
000000000000568929;3225;24
000000000000031023;3206;205
000000000000667672;3212;11
000000000402160005;3180;205
000000000000901361;3086;22
000000000000177512;3193;2190
000000000000505749;3187;171
000000000402163013;3098;42
000000000000054189;3094;185
000000000000712974;3223;3229
000000000000688938;3172;271
000000000000640010;3091;60
000000000000358032;3092;90
000000000000010526;3088;204
000000000000647123;3172;16
000000000000356297;3193;80
000000000000007390;3094;3836
000000000000603675;3225;96
000000000000572390;3223;33
000000000000185148;3206;127
000000000000667692;3212;88
000000000000667815;3091;4
000000000000666101;3211;148
000000000000640476;3193;125
000000000000358336;3093;2239
000000000000815280;3193;86
000000000000174785;3093;30
000000000402160005;3206;9
000000000000031222;3086;22
000000000000900817;3172;5764
000000000000629712;3223;75
000000000000176636;3206;38
000000000000358336;3180;1738
000000000000018292;3094;246
000000000000631249;3223;72
000000000000641279;3098;30
000000000000688938;3223;52
000000000000621033;3086;178
000000000000017734;3172;96
000000000000612882;3193;68
000000000000900826;3088;1393
000000000000630952;3098;64
000000000000172456;3074;46
000000000000637670;3094;124
000000000000649868;3086;22
000000000000664937;3206;26
000000000000180012;3088;35
000000000000017739;3180;123
000000000000900821;3074;425
000000000000211061;3085;21
000000000000147552;3206;221
000000000000009640;3088;51
000000000000614115;3212;86
000000000000666015;3088;32
000000000000966828;3223;47
000000000000501361;3086;2670
000000000000642726;3193;10
000000000402163006;3223;23
000000000000640960;3091;70
000000000000047388;3172;222
000000000000560445;3089;253
000000000000668060;3093;104
000000000402629006;3088;3891
000000000000639695;3094;98
000000000000638916;3094;56
000000000650386002;3092;12
000000000000780172;3089;119
000000000000004933;3074;1285
000000000000005757;3212;77
000000000000005474;3086;98
000000000000612861;3193;104
000000000000017929;3074;315
000000000000225728;3211;89
000000000634901001;3092;79
000000000665771002;3211;59
000000000637411001;3091;129
000000000000008892;3085;216
000000000000666915;3074;51
000000000000146753;3206;134
000000000000635684;3094;34
000000000000215154;3172;46
000000000000616932;3092;4
000000000000641385;3225;75
000000000402163019;3091;32
000000000000731601;3098;114
000000000000639695;3212;153
000000000000128229;3091;71
000000000000667429;3092;216
000000000000665280;3074;44
000000000000010584;3089;99
000000000000217411;3089;72
000000000000863278;3085;34
000000000000544058;3172;68
000000000000145237;3187;527
000000000000506147;3206;29
000000000000024733;3193;6548
000000000000007448;3092;835
000000000648444001;3172;99
000000000000639039;3225;204
000000000000647125;3172;43
000000000000575841;3089;27
000000000000598867;3092;276
000000000000718537;3211;2258
000000000000635931;3211;259
000000000000606428;3091;31
000000000000018286;3094;81
000000000000174330;3074;45
000000000000052657;3193;59
000000000000754766;3098;66
000000000000160867;3092;203
000000000000010664;3225;29
000000000000007493;3094;2600
000000000000013241;3092;101
000000000000020321;3085;248
000000000650059002;3098;33
000000000000007407;3092;643
000000000000645928;3089;74
000000000000640873;3211;27
000000000000960217;3212;116
000000000000868530;3187;279
000000000000653352;3074;8
000000000000141205;3091;65
000000000000631669;3086;58
000000000000666015;3089;25
000000000000663046;3085;59
000000000000291227;3085;30
000000000000017739;3085;187
000000000000178379;3074;105
000000000000639501;3094;105
000000000000004933;3094;1386
000000000000642726;3086;11
000000000000017659;3223;172
000000000000612808;3093;69
000000000000004933;3187;1262
000000000000630078;3094;24
000000000000920545;3172;546
000000000000577226;3172;12
000000000000132114;3193;38
000000000000006457;3180;735
000000000000010217;3094;89
000000000000649345;3187;725
000000000000666029;3172;58
000000000000985918;3193;35
000000000616561001;3180;68
000000000000658445;3223;27
000000000400261002;3225;162
000000000000759658;3091;70
000000000400329004;3180;840
000000000000174330;3193;77
000000000000561155;3091;514
000000000000158886;3093;76
000000000000766964;3093;43
000000000000646386;3187;1301
000000000000351783;3172;204
000000000000030951;3091;35
000000000000005760;3091;134
000000000000518013;3093;73
000000000000180004;3085;63
000000000402163006;3187;24
000000000000355630;3098;2155
000000000000006490;3225;67
000000000000641113;3211;35
000000000000168914;3206;74
000000000000059809;3193;197
000000000000749098;3172;348
000000000000195308;3093;30
000000000402135002;3211;59
000000000000214589;3093;215
000000000000650655;3088;57
000000000000667968;3093;98
000000000000662372;3098;47
000000000621962002;3212;41
000000000000018137;3092;26
000000000000624684;3086;92
000000000402629001;3180;829
000000000000899948;3212;2106
000000000000651990;3193;97
000000000000561523;3206;14
000000000000615836;3206;86
000000000000215154;3193;53
000000000000181372;3089;140
000000000000667610;3187;26
000000000000662799;3092;23
000000000400329001;3074;1532
000000000000031416;3225;17
000000000000006444;3212;518
000000000000749097;3088;737
000000000000632286;3212;71
000000000000629762;3180;3106
000000000645975001;3091;335
000000000668910001;3092;384
000000000000005964;3092;1173
000000000000005753;3211;18
000000000000558055;3206;30
000000000000298060;3180;129
000000000000615078;3074;25
000000000000603916;3088;405
000000000000759335;3088;143
000000000000005964;3187;1116
000000000000147553;3211;155
000000000000635726;3085;27
000000000000006128;3193;47
000000000000646386;3223;184
000000000000616733;3092;26
000000000000349368;3098;4182
000000000000132115;3085;55
000000000000164853;3088;144
000000000000663243;3180;122
000000000000358358;3172;6795
000000000400308001;3211;3932
000000000000213259;3098;55
000000000000178369;3089;39
000000000000173898;3172;70
000000000000767397;3172;212
000000000000253711;3085;43
000000000000816588;3180;263
000000000000132112;3206;185
000000000000991225;3225;71
000000000000128229;3180;216
000000000000192068;3172;17
000000000000053957;3085;36
000000000000035246;3089;285
000000000400055001;3212;418
000000000000052614;3088;173
000000000000629757;3086;3510
000000000000638619;3093;36
000000000000008644;3093;34
000000000000177770;3086;172
000000000000017665;3206;46
000000000000815394;3180;74
000000000665771002;3223;19
000000000000052663;3225;133
000000000000007504;3098;483
000000000000864253;3223;141
000000000000217411;3172;53
000000000000613365;3193;47
000000000000056986;3086;113
000000000000132599;3086;35
000000000000010217;3225;53
000000000000662178;3093;84
000000000000649868;3223;21
000000000000641384;3094;127
000000000000666031;3074;32
000000000000650198;3089;72
000000000000018292;3086;377
000000000641229001;3085;313
000000000402629003;3094;1129
000000000000665741;3223;173
000000000000544058;3074;41
000000000000020318;3172;50
000000000000899948;3172;2205
000000000000760902;3085;53
000000000000191112;3074;92
000000000000648037;3225;24
000000000000777211;3093;230
000000000000006495;3086;76
000000000400308001;3193;7596
000000000000010662;3193;826
000000000000046939;3091;105
000000000622768001;3212;266
000000000400071001;3093;62
000000000624310002;3092;46
000000000000637670;3074;118
000000000000663844;3193;461
